epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,111.649,0.56341,1.16853,1.03935,0.71287,0.63815,0.65314,0.5479,0.5564,0.64434,0.97569,0.00332702,0.00332702,0.00332702
2,217.475,0.48739,0.58075,0.95021,0.72425,0.62918,0.6564,0.53299,0.63293,0.84801,1.0072,0.00659442,0.00659442,0.00659442
3,321.713,0.5501,0.62949,0.96797,0.50453,0.5009,0.49669,0.40927,0.73466,1.90751,1.06465,0.00979581,0.00979581,0.00979581
4,424.499,0.6039,0.66901,0.99061,0.58497,0.5303,0.54005,0.44529,0.75001,0.9951,1.08795,0.009703,0.009703,0.009703
5,527.619,0.57226,0.61732,0.98105,0.66816,0.65908,0.67108,0.5447,0.63559,0.63289,0.98611,0.009604,0.009604,0.009604
6,630.532,0.53785,0.56101,0.96458,0.71646,0.68293,0.6842,0.55341,0.61141,0.71032,0.98656,0.009505,0.009505,0.009505
7,733.529,0.51972,0.53779,0.96112,0.69142,0.65696,0.68824,0.55396,0.63786,0.66672,0.99831,0.009406,0.009406,0.009406
8,836.812,0.49038,0.50779,0.9485,0.71584,0.6822,0.69433,0.57346,0.58417,0.52646,0.9757,0.009307,0.009307,0.009307
9,939.745,0.4776,0.48753,0.9398,0.7324,0.75277,0.75576,0.60888,0.5484,0.53623,0.95375,0.009208,0.009208,0.009208
10,1043.15,0.47125,0.46008,0.93489,0.72769,0.73872,0.74917,0.62013,0.55862,0.47351,0.95169,0.009109,0.009109,0.009109
11,1146.47,0.45688,0.44359,0.93148,0.76003,0.741,0.77187,0.61315,0.5708,0.51066,0.97813,0.00901,0.00901,0.00901
12,1249.48,0.44711,0.43526,0.92633,0.85425,0.7138,0.77298,0.62256,0.51043,0.45818,0.93132,0.008911,0.008911,0.008911
13,1352.63,0.42947,0.4189,0.91912,0.77858,0.75262,0.76859,0.6285,0.49889,0.435,0.91962,0.008812,0.008812,0.008812
14,1455.99,0.42517,0.40784,0.91609,0.81018,0.79702,0.804,0.66171,0.48792,0.4309,0.91079,0.008713,0.008713,0.008713
15,1559.17,0.41573,0.40265,0.91606,0.7979,0.81718,0.80438,0.65623,0.49723,0.41279,0.92689,0.008614,0.008614,0.008614
16,1662.12,0.41541,0.39682,0.91307,0.84941,0.77059,0.80908,0.66421,0.48279,0.41842,0.91295,0.008515,0.008515,0.008515
17,1765.21,0.40576,0.38656,0.91238,0.80847,0.74887,0.8024,0.65959,0.47786,0.41507,0.91673,0.008416,0.008416,0.008416
18,1868.15,0.39846,0.37611,0.90753,0.77927,0.79946,0.79497,0.6646,0.47839,0.41489,0.91803,0.008317,0.008317,0.008317
19,1971.04,0.386,0.37069,0.90343,0.87286,0.76686,0.82416,0.67771,0.47282,0.3864,0.91166,0.008218,0.008218,0.008218
20,2074.03,0.37801,0.36014,0.90166,0.85544,0.81592,0.8539,0.69951,0.47749,0.36288,0.91331,0.008119,0.008119,0.008119
21,2176.95,0.38655,0.36282,0.90243,0.84601,0.81033,0.8491,0.69194,0.4879,0.37639,0.9099,0.00802,0.00802,0.00802
22,2280.06,0.37838,0.35327,0.89973,0.86833,0.77391,0.83687,0.6887,0.46735,0.35564,0.91631,0.007921,0.007921,0.007921
23,2383.12,0.36997,0.34468,0.89498,0.83224,0.78467,0.82128,0.68217,0.46108,0.36936,0.9043,0.007822,0.007822,0.007822
