epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
24,2486.11,0.37455,0.3481,0.89682,0.8204,0.77746,0.82274,0.68392,0.43858,0.38867,0.89537,0.007723,0.007723,0.007723
25,2589.52,0.36163,0.33667,0.89292,0.85159,0.8272,0.85303,0.71122,0.41,0.37319,0.87899,0.007624,0.007624,0.007624
26,2692.6,0.35812,0.3325,0.89321,0.86684,0.83144,0.87924,0.71944,0.44762,0.34415,0.90322,0.007525,0.007525,0.007525
27,2795.53,0.35338,0.32748,0.89108,0.87752,0.82988,0.87124,0.7238,0.43631,0.36699,0.9012,0.007426,0.007426,0.007426
28,2898.51,0.35112,0.33021,0.889,0.88426,0.79741,0.86021,0.71973,0.41922,0.35215,0.88684,0.007327,0.007327,0.007327
29,3001.78,0.3476,0.32103,0.88614,0.86173,0.81276,0.84864,0.71248,0.42772,0.33441,0.88419,0.007228,0.007228,0.007228
30,3104.77,0.34543,0.3176,0.88536,0.90221,0.78385,0.87437,0.72161,0.43333,0.35073,0.90528,0.007129,0.007129,0.007129
31,3207.96,0.34642,0.31314,0.88729,0.84924,0.81001,0.86347,0.72496,0.41724,0.32539,0.89685,0.00703,0.00703,0.00703
32,3311.04,0.34151,0.31013,0.88567,0.86421,0.79795,0.8678,0.7315,0.41879,0.32664,0.89199,0.006931,0.006931,0.006931
33,3414.61,0.33514,0.30341,0.88184,0.86538,0.8402,0.8717,0.72179,0.41978,0.32848,0.88878,0.006832,0.006832,0.006832
34,3517.7,0.33045,0.30331,0.88294,0.87789,0.84117,0.88085,0.73704,0.41088,0.3023,0.8798,0.006733,0.006733,0.006733
35,3620.6,0.32556,0.29731,0.88005,0.87998,0.82054,0.871,0.73895,0.39827,0.30857,0.87282,0.006634,0.006634,0.006634
36,3723.94,0.32096,0.29245,0.8776,0.8981,0.84309,0.88174,0.74315,0.40321,0.32874,0.8801,0.006535,0.006535,0.006535
37,3827.14,0.31909,0.29336,0.87779,0.89293,0.84356,0.89684,0.74819,0.40344,0.31286,0.88141,0.006436,0.006436,0.006436
38,3930.34,0.31327,0.28467,0.87388,0.86966,0.86001,0.8936,0.75245,0.4064,0.32019,0.88683,0.006337,0.006337,0.006337
39,4033.71,0.31622,0.28182,0.875,0.90281,0.84268,0.90628,0.75545,0.39418,0.31136,0.86995,0.006238,0.006238,0.006238
40,4136.95,0.31033,0.28298,0.87325,0.85979,0.82175,0.86865,0.73144,0.40303,0.3099,0.8849,0.006139,0.006139,0.006139
41,4239.99,0.31309,0.28131,0.8726,0.91259,0.84545,0.89742,0.7579,0.39142,0.28891,0.88105,0.00604,0.00604,0.00604
42,4343.22,0.30861,0.28027,0.87379,0.92367,0.8608,0.90908,0.76467,0.38409,0.27658,0.87144,0.005941,0.005941,0.005941
43,4446.41,0.30226,0.27437,0.8714,0.91532,0.86046,0.89786,0.75613,0.37691,0.30166,0.85573,0.005842,0.005842,0.005842
44,4549.1,0.29963,0.26914,0.87095,0.90564,0.84528,0.88757,0.74971,0.37831,0.28843,0.86084,0.005743,0.005743,0.005743
45,4652.26,0.30039,0.26757,0.86973,0.90948,0.83511,0.89334,0.76084,0.3786,0.28571,0.86439,0.005644,0.005644,0.005644
46,4755.25,0.30362,0.26569,0.86924,0.91944,0.84296,0.89055,0.75401,0.38559,0.29248,0.8709,0.005545,0.005545,0.005545
47,4858.37,0.29194,0.26215,0.86721,0.87878,0.85795,0.88733,0.75077,0.37158,0.28713,0.86414,0.005446,0.005446,0.005446
48,4961.49,0.29239,0.25991,0.86722,0.92808,0.85101,0.89794,0.76637,0.37467,0.27577,0.86887,0.005347,0.005347,0.005347
49,5064.56,0.29544,0.26069,0.86585,0.91737,0.83287,0.88825,0.75325,0.3734,0.27149,0.86417,0.005248,0.005248,0.005248
50,5168.02,0.28821,0.25429,0.86455,0.90367,0.84995,0.89239,0.75378,0.38455,0.27954,0.86705,0.005149,0.005149,0.005149
51,5271.09,0.28408,0.25655,0.8625,0.90339,0.85663,0.90238,0.76323,0.37206,0.27308,0.86302,0.00505,0.00505,0.00505
52,5373.97,0.28799,0.25261,0.86496,0.90843,0.85744,0.89738,0.76479,0.36589,0.27028,0.85799,0.004951,0.004951,0.004951
53,5476.92,0.29081,0.25493,0.86533,0.90545,0.86416,0.89852,0.76574,0.36317,0.26682,0.85285,0.004852,0.004852,0.004852
54,5580.03,0.28008,0.24612,0.86249,0.91855,0.85123,0.89876,0.76504,0.3667,0.28746,0.86353,0.004753,0.004753,0.004753
55,5682.9,0.27649,0.24468,0.85973,0.92943,0.83473,0.89378,0.75889,0.37528,0.27147,0.87007,0.004654,0.004654,0.004654
56,5785.64,0.27791,0.24413,0.86089,0.88815,0.85992,0.89266,0.76684,0.37063,0.28075,0.86159,0.004555,0.004555,0.004555
57,5888.75,0.27246,0.23924,0.85904,0.90049,0.84302,0.8973,0.76192,0.37894,0.28555,0.87502,0.004456,0.004456,0.004456
58,5991.67,0.26943,0.23777,0.85924,0.92039,0.85984,0.91121,0.77182,0.3668,0.26151,0.86209,0.004357,0.004357,0.004357
59,6094.91,0.27171,0.23613,0.86002,0.87453,0.86768,0.89555,0.76589,0.36388,0.27846,0.86428,0.004258,0.004258,0.004258
60,6197.94,0.27612,0.23807,0.85852,0.92467,0.85891,0.90504,0.77693,0.35892,0.27087,0.85701,0.004159,0.004159,0.004159
61,6301.21,0.2695,0.23629,0.86217,0.9333,0.861,0.91054,0.77552,0.35628,0.27653,0.8543,0.00406,0.00406,0.00406
62,6404.28,0.26317,0.23142,0.85558,0.93689,0.86878,0.91457,0.771,0.36026,0.26754,0.85441,0.003961,0.003961,0.003961
63,6507.37,0.26231,0.2288,0.85267,0.94406,0.85329,0.91225,0.77535,0.36003,0.26438,0.85648,0.003862,0.003862,0.003862
64,6610.41,0.26313,0.23378,0.85578,0.91501,0.87347,0.90936,0.77765,0.36192,0.27411,0.85943,0.003763,0.003763,0.003763
65,6713.78,0.26081,0.22475,0.85573,0.87784,0.87962,0.90571,0.77578,0.3567,0.27281,0.85779,0.003664,0.003664,0.003664
66,6816.91,0.26078,0.22955,0.85356,0.92863,0.84779,0.90245,0.76863,0.35722,0.25804,0.857,0.003565,0.003565,0.003565
67,6919.92,0.2532,0.2226,0.85433,0.9113,0.84951,0.90657,0.77338,0.35138,0.26036,0.85179,0.003466,0.003466,0.003466
68,7023.11,0.25321,0.21868,0.85445,0.90492,0.83731,0.89864,0.76701,0.3562,0.26128,0.86006,0.003367,0.003367,0.003367
69,7126.26,0.25318,0.22063,0.85439,0.91005,0.8654,0.90767,0.77393,0.35079,0.26495,0.85209,0.003268,0.003268,0.003268
70,7229.19,0.24694,0.21592,0.85288,0.90668,0.85827,0.89876,0.7738,0.35135,0.26416,0.84954,0.003169,0.003169,0.003169
71,7331.92,0.24438,0.21437,0.85065,0.92363,0.84455,0.89587,0.77512,0.35423,0.26356,0.85652,0.00307,0.00307,0.00307
72,7434.82,0.24573,0.21451,0.85144,0.93103,0.84512,0.90896,0.78101,0.35017,0.25486,0.85531,0.002971,0.002971,0.002971
73,7538.2,0.24531,0.21231,0.85171,0.91796,0.84658,0.90247,0.77726,0.34968,0.24964,0.85482,0.002872,0.002872,0.002872
74,7641.16,0.24384,0.2098,0.8496,0.91233,0.865,0.91326,0.78322,0.34863,0.24764,0.85115,0.002773,0.002773,0.002773
75,7744.7,0.24064,0.20644,0.84872,0.93335,0.85264,0.91541,0.78806,0.3464,0.25061,0.85323,0.002674,0.002674,0.002674
76,7847.75,0.237,0.20518,0.84799,0.9163,0.86058,0.92005,0.7926,0.34399,0.2487,0.85135,0.002575,0.002575,0.002575
77,7950.82,0.23752,0.20286,0.84831,0.92528,0.86238,0.9194,0.79299,0.34195,0.24529,0.84762,0.002476,0.002476,0.002476
78,8054,0.24121,0.20557,0.84653,0.93041,0.86039,0.91565,0.79025,0.34085,0.24796,0.84427,0.002377,0.002377,0.002377
79,8157.12,0.23111,0.19908,0.84466,0.9241,0.865,0.91529,0.78652,0.3373,0.24361,0.84198,0.002278,0.002278,0.002278
80,8260.23,0.22943,0.19577,0.84765,0.90715,0.86889,0.91427,0.78859,0.33611,0.24585,0.84401,0.002179,0.002179,0.002179
81,8363.02,0.22603,0.19769,0.84542,0.94494,0.86113,0.91677,0.78914,0.33648,0.2445,0.84532,0.00208,0.00208,0.00208
82,8466.05,0.22937,0.19476,0.84484,0.93732,0.85478,0.9139,0.78849,0.33638,0.24743,0.84579,0.001981,0.001981,0.001981
83,8569.22,0.22668,0.19432,0.84434,0.93005,0.85362,0.91158,0.78761,0.34141,0.24817,0.85215,0.001882,0.001882,0.001882
84,8672.36,0.22349,0.19077,0.8459,0.93011,0.85734,0.91193,0.78716,0.34649,0.2426,0.85804,0.001783,0.001783,0.001783
85,8775.56,0.2176,0.18794,0.84292,0.92134,0.85443,0.91426,0.78455,0.34698,0.24222,0.85906,0.001684,0.001684,0.001684
86,8878.46,0.21743,0.18697,0.84462,0.93618,0.84346,0.91533,0.78416,0.34388,0.23772,0.85691,0.001585,0.001585,0.001585
87,8981.51,0.21445,0.18434,0.84268,0.92575,0.86508,0.91355,0.78614,0.34376,0.23489,0.85787,0.001486,0.001486,0.001486
88,9084.49,0.2167,0.18587,0.84405,0.91795,0.87072,0.9205,0.78986,0.34073,0.23429,0.85419,0.001387,0.001387,0.001387
89,9187.32,0.21689,0.1831,0.84221,0.91622,0.86053,0.91353,0.7891,0.33858,0.23316,0.85296,0.001288,0.001288,0.001288
90,9290.2,0.21023,0.17997,0.84116,0.88737,0.89299,0.9173,0.79038,0.33981,0.23522,0.85378,0.001189,0.001189,0.001189
91,9417.7,0.18788,0.14727,0.803,0.9136,0.86656,0.91561,0.78948,0.33971,0.23699,0.85444,0.00109,0.00109,0.00109
92,9520.05,0.18129,0.14274,0.80049,0.90058,0.88334,0.91647,0.79229,0.33968,0.23654,0.85584,0.000991,0.000991,0.000991
93,9622.45,0.18176,0.14167,0.80076,0.90531,0.88676,0.92196,0.79611,0.33889,0.23687,0.85542,0.000892,0.000892,0.000892
94,9725.09,0.1793,0.13968,0.79979,0.90773,0.88346,0.92269,0.79688,0.33725,0.23989,0.85417,0.000793,0.000793,0.000793
95,9827.62,0.17763,0.13733,0.79955,0.92299,0.87174,0.91901,0.79627,0.33735,0.24094,0.85446,0.000694,0.000694,0.000694
96,9930.2,0.17376,0.13445,0.7986,0.9301,0.86884,0.92029,0.79767,0.33845,0.23888,0.85599,0.000595,0.000595,0.000595
97,10033.2,0.17169,0.1338,0.79848,0.93005,0.87328,0.92435,0.79843,0.33878,0.23783,0.85671,0.000496,0.000496,0.000496
98,10135.9,0.16763,0.13038,0.79588,0.92712,0.8812,0.92558,0.79809,0.33864,0.23741,0.85726,0.000397,0.000397,0.000397
99,10238.8,0.16935,0.12961,0.79799,0.92129,0.88706,0.92561,0.79756,0.33745,0.23721,0.85768,0.000298,0.000298,0.000298
100,10341.3,0.16485,0.12626,0.79742,0.91554,0.88545,0.92478,0.79582,0.33699,0.23708,0.85807,0.000199,0.000199,0.000199
