epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2075.75,0.45764,0.32558,0.89016,0.961,0.92417,0.97264,0.88115,0.40534,0.28909,0.8432,0.000990365,0.000990365,0.000990365
43,2125.15,0.45402,0.32552,0.89377,0.97186,0.92765,0.97312,0.88774,0.39714,0.27018,0.83856,0.000973861,0.000973861,0.000973861
44,2174.51,0.46065,0.3228,0.89396,0.96297,0.93092,0.96843,0.88344,0.39736,0.27483,0.84511,0.000957358,0.000957358,0.000957358
45,2223.51,0.46303,0.32866,0.89127,0.95036,0.92661,0.96581,0.89,0.37464,0.28704,0.82942,0.000940855,0.000940855,0.000940855
46,2272.82,0.44952,0.31999,0.891,0.96891,0.93137,0.975,0.88462,0.4033,0.2617,0.8485,0.000924352,0.000924352,0.000924352
47,2322.16,0.44999,0.31827,0.88799,0.96743,0.93799,0.97261,0.88983,0.40365,0.26459,0.84593,0.000907848,0.000907848,0.000907848
48,2371.81,0.438,0.31404,0.89002,0.96157,0.93738,0.97153,0.88296,0.4036,0.26738,0.84301,0.000891345,0.000891345,0.000891345
49,2420.97,0.43541,0.30636,0.88577,0.96572,0.9363,0.97778,0.89303,0.39691,0.25938,0.84079,0.000874842,0.000874842,0.000874842
50,2470.35,0.44455,0.31172,0.88533,0.96842,0.9318,0.98017,0.89353,0.38583,0.25658,0.83099,0.000858338,0.000858338,0.000858338
51,2519.67,0.43816,0.31192,0.88678,0.96997,0.93112,0.97525,0.88776,0.38717,0.25615,0.83865,0.000841835,0.000841835,0.000841835
52,2569.12,0.42933,0.30026,0.8768,0.9349,0.96581,0.97599,0.88945,0.39292,0.25513,0.84117,0.000825332,0.000825332,0.000825332
53,2618.31,0.42801,0.30246,0.88056,0.94914,0.95302,0.97357,0.88747,0.38365,0.2572,0.83645,0.000808828,0.000808828,0.000808828
54,2667.68,0.4248,0.29705,0.8783,0.96796,0.93837,0.97546,0.882,0.38781,0.25308,0.84203,0.000792325,0.000792325,0.000792325
55,2717.04,0.42531,0.29603,0.8796,0.97436,0.93161,0.97805,0.89697,0.36974,0.24613,0.83331,0.000775822,0.000775822,0.000775822
56,2766.47,0.42598,0.29419,0.87893,0.96522,0.93946,0.97446,0.88929,0.37897,0.25516,0.84421,0.000759318,0.000759318,0.000759318
57,2815.87,0.41765,0.29162,0.87245,0.95825,0.95487,0.97989,0.90079,0.37795,0.24188,0.84464,0.000742815,0.000742815,0.000742815
58,2865.24,0.42379,0.29854,0.88109,0.97091,0.93609,0.97789,0.89316,0.37445,0.25045,0.84013,0.000726312,0.000726312,0.000726312
59,2914.98,0.41689,0.29613,0.87513,0.96031,0.95261,0.98015,0.89444,0.37986,0.23554,0.84575,0.000709809,0.000709809,0.000709809
60,2964.04,0.41533,0.28685,0.87414,0.94425,0.95807,0.97982,0.8993,0.37608,0.2462,0.83211,0.000693305,0.000693305,0.000693305
61,3012.88,0.42238,0.29269,0.87507,0.9509,0.94575,0.9727,0.88778,0.38768,0.24311,0.84631,0.000676802,0.000676802,0.000676802
62,3062.24,0.41248,0.29781,0.86977,0.94248,0.96189,0.97792,0.89993,0.3587,0.23902,0.82867,0.000660299,0.000660299,0.000660299
63,3111.62,0.40843,0.28268,0.86946,0.9623,0.94614,0.97463,0.89287,0.37659,0.2529,0.84062,0.000643795,0.000643795,0.000643795
64,3160.85,0.39869,0.27164,0.86909,0.95548,0.95284,0.97715,0.89185,0.38257,0.24523,0.85032,0.000627292,0.000627292,0.000627292
65,3210.16,0.39608,0.27163,0.86453,0.95565,0.95968,0.9764,0.89834,0.37133,0.2379,0.83886,0.000610789,0.000610789,0.000610789
66,3259.59,0.3963,0.2732,0.86843,0.96031,0.95369,0.97989,0.90181,0.37417,0.22991,0.83925,0.000594286,0.000594286,0.000594286
67,3308.98,0.39758,0.26493,0.87063,0.96692,0.94254,0.97829,0.89842,0.37425,0.22973,0.83524,0.000577782,0.000577782,0.000577782
68,3357.98,0.39174,0.26629,0.86768,0.9661,0.9511,0.97699,0.89558,0.38183,0.23546,0.8487,0.000561279,0.000561279,0.000561279
69,3407.31,0.38412,0.25994,0.86896,0.97152,0.94739,0.97622,0.89909,0.36936,0.23142,0.84186,0.000544776,0.000544776,0.000544776
70,3456.42,0.3929,0.26743,0.86438,0.9543,0.95071,0.974,0.89512,0.36717,0.23575,0.83958,0.000528272,0.000528272,0.000528272
71,3505.5,0.39612,0.27058,0.86555,0.97278,0.94313,0.97717,0.89527,0.37186,0.22934,0.83698,0.000511769,0.000511769,0.000511769
72,3554.52,0.38162,0.26009,0.86807,0.96698,0.94048,0.97463,0.89859,0.35853,0.23355,0.83019,0.000495266,0.000495266,0.000495266
73,3604.02,0.38359,0.25953,0.86453,0.95164,0.95472,0.97199,0.89682,0.35336,0.23631,0.82537,0.000478762,0.000478762,0.000478762
74,3653.02,0.3837,0.2628,0.86434,0.94801,0.96057,0.97348,0.89935,0.35958,0.23266,0.83174,0.000462259,0.000462259,0.000462259
75,3702.34,0.3833,0.25756,0.86555,0.95884,0.95625,0.97792,0.90057,0.35885,0.23133,0.82922,0.000445756,0.000445756,0.000445756
76,3751.68,0.37791,0.25551,0.86351,0.96405,0.95691,0.97663,0.89981,0.35711,0.22568,0.83713,0.000429253,0.000429253,0.000429253
77,3800.77,0.37787,0.25311,0.86606,0.96367,0.94925,0.97558,0.90067,0.35944,0.22634,0.83345,0.000412749,0.000412749,0.000412749
78,3850.68,0.36882,0.24838,0.8554,0.96721,0.94534,0.97466,0.89993,0.36001,0.2245,0.83863,0.000396246,0.000396246,0.000396246
79,3900,0.37438,0.24934,0.86394,0.96336,0.94561,0.97528,0.89926,0.34984,0.22454,0.83478,0.000379743,0.000379743,0.000379743
80,3949.22,0.36487,0.24793,0.85779,0.96318,0.94909,0.97664,0.90335,0.35691,0.21833,0.83052,0.000363239,0.000363239,0.000363239
81,3998.65,0.368,0.246,0.85734,0.95432,0.9442,0.9778,0.90264,0.35583,0.22529,0.83502,0.000346736,0.000346736,0.000346736
82,4047.71,0.36641,0.24393,0.85966,0.95406,0.94757,0.97777,0.90331,0.35399,0.23092,0.82702,0.000330233,0.000330233,0.000330233
83,4097.37,0.37403,0.25958,0.86966,0.94426,0.95208,0.97551,0.90258,0.35087,0.22578,0.8351,0.000313729,0.000313729,0.000313729
84,4146.68,0.35638,0.23808,0.85611,0.95826,0.94585,0.97771,0.90297,0.35538,0.21842,0.83752,0.000297226,0.000297226,0.000297226
85,4196.24,0.35408,0.23095,0.85294,0.9638,0.94508,0.97596,0.90392,0.3495,0.22217,0.83163,0.000280723,0.000280723,0.000280723
86,4245.95,0.3516,0.23357,0.85249,0.96963,0.95237,0.97876,0.90247,0.34924,0.21489,0.83123,0.00026422,0.00026422,0.00026422
87,4295.35,0.34872,0.22962,0.85142,0.9679,0.94335,0.97635,0.90468,0.34803,0.21051,0.83166,0.000247716,0.000247716,0.000247716
88,4344.98,0.34706,0.22904,0.85031,0.96228,0.9466,0.97629,0.90432,0.34024,0.21245,0.82422,0.000231213,0.000231213,0.000231213
89,4394.25,0.3458,0.22458,0.8502,0.95978,0.9518,0.9804,0.90537,0.34774,0.21378,0.82857,0.00021471,0.00021471,0.00021471
90,4443.94,0.34651,0.22894,0.85402,0.96714,0.93811,0.97821,0.90371,0.34304,0.21628,0.82932,0.000198206,0.000198206,0.000198206
91,4519.85,0.30985,0.18699,0.80194,0.95718,0.9468,0.98056,0.9129,0.34094,0.21461,0.83416,0.000181703,0.000181703,0.000181703
92,4568.82,0.30553,0.18372,0.79921,0.95984,0.94545,0.98069,0.91408,0.33021,0.20997,0.82335,0.0001652,0.0001652,0.0001652
93,4617.67,0.30021,0.17854,0.7988,0.96133,0.94967,0.98071,0.91404,0.32831,0.20967,0.82104,0.000148696,0.000148696,0.000148696
94,4666.48,0.30067,0.17945,0.79905,0.96525,0.94645,0.98103,0.91391,0.32587,0.20977,0.81904,0.000132193,0.000132193,0.000132193
95,4715.38,0.3023,0.17942,0.79728,0.96335,0.95086,0.98251,0.91652,0.32668,0.20645,0.8189,0.00011569,0.00011569,0.00011569
96,4764.38,0.29401,0.1746,0.79,0.96674,0.94831,0.98129,0.91458,0.3303,0.20653,0.82065,9.91865e-05,9.91865e-05,9.91865e-05
97,4813.27,0.29039,0.17222,0.79058,0.96538,0.95206,0.98236,0.91546,0.3341,0.20762,0.82266,8.26832e-05,8.26832e-05,8.26832e-05
98,4862.28,0.29015,0.1708,0.79281,0.96268,0.95543,0.98267,0.91543,0.32898,0.20525,0.82146,6.61799e-05,6.61799e-05,6.61799e-05
99,4911.27,0.29111,0.17128,0.79131,0.96108,0.95396,0.98294,0.91704,0.32773,0.20582,0.81996,4.96766e-05,4.96766e-05,4.96766e-05
100,4960.43,0.2854,0.16832,0.79064,0.96527,0.95485,0.98275,0.91603,0.32526,0.2054,0.82033,3.31733e-05,3.31733e-05,3.31733e-05
